source_file,trial,workload_kind,workload_label,trace_name,algorithm,allocation_policy,total_frames,process_count,page_faults,page_replacements,disk_reads,disk_writes,total_disk_io,page_fault_rate,runtime_ms,throughput,worst_case_slowdown,mean_slowdown,aggregate_wss,memory_ratio_to_wss,slowdown_mean,slowdown_median,fairness_jains_index,fairness_variance,fairness_cv,fairness_max_ratio,fairness_mean,fairness_std,fairness_min,fairness_max,outlier_flag
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f295.json,5,synthetic,high_locality,,FIFO,ProportionalAllocation,295,4,384.0,89.0,384.0,67.0,451.0,0.064,2.227,2694207.4539739564,2.1673108779679735,1.798565048300287,284.0,1.0387323943661972,1.798565048300287,1.8202064708630588,0.9640636151117652,0.15481655098098848,0.1894580993836952,1.5631114476182488,1.798565048300287,0.34075271566891635,1.3865363735070575,2.1673108779679735,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f295.json,6,synthetic,high_locality,,FIFO,ProportionalAllocation,295,4,375.0,81.0,375.0,63.0,438.0,0.0625,2.0823,2881429.188877683,2.0298750678978816,1.9552245648877515,286.0,1.0314685314685315,1.9552245648877513,1.9505499309853789,0.9990094680449387,0.005073653334429493,0.0315496380899424,1.0740515427358828,1.9552245648877515,0.061686627406773664,1.8899233296823659,2.0298750678978816,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f295.json,7,synthetic,high_locality,,FIFO,ProportionalAllocation,295,4,382.0,91.0,382.0,71.0,453.0,0.06366666666666666,2.0346,2948982.601002654,1.9471718249733192,1.9110971666997183,289.0,1.0207612456747406,1.9110971666997183,1.9102600046231843,0.9998048737811728,0.0009519408043177311,0.013981469980136519,1.0375526782859639,1.9110971666997183,0.02671994766533607,1.8766968325791855,1.9471718249733192,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f295.json,8,synthetic,high_locality,,FIFO,ProportionalAllocation,295,4,401.0,106.0,401.0,89.0,490.0,0.06683333333333333,2.0572,2916585.6503986004,1.9262208067940552,1.895513958127503,300.0,0.9833333333333333,1.8955139581275027,1.903025972727826,0.9997736324605256,0.001061040594206316,0.014882285947468607,1.0413225352472113,1.895513958127503,0.028209580742271534,1.8497830802603037,1.9262208067940552,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f295.json,9,synthetic,high_locality,,FIFO,ProportionalAllocation,295,4,403.0,108.0,403.0,89.0,492.0,0.06716666666666667,2.0535,2921840.759678597,1.9630836047774158,1.9247133664544958,310.0,0.9516129032258065,1.9247133664544958,1.9286921530375434,0.9996302505080422,0.0018193334370577108,0.01919202143619222,1.0450908758258055,1.9247133664544958,0.036939140187520376,1.8783855549654807,1.9630836047774158,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f354.json,0,synthetic,high_locality,,FIFO,ProportionalAllocation,354,4,325.0,0.0,325.0,0.0,325.0,0.05416666666666667,1.9736,3040129.712201054,1.8270474137931034,1.821076176158697,294.0,1.2040816326530612,1.821076176158697,1.8222645348313797,0.999989189285877,4.771414193334108e-05,0.00328492968595585,1.0078992495658645,1.821076176158697,0.005982107191450669,1.8127282211789255,1.8270474137931034,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f354.json,1,synthetic,high_locality,,FIFO,ProportionalAllocation,354,4,332.0,0.0,332.0,0.0,332.0,0.05533333333333333,1.9598,3061536.8915195432,1.8187808896210873,1.811846022522706,291.0,1.2164948453608246,1.811846022522706,1.8114429448616551,0.9999931911548287,2.983871043760711e-05,0.0026109548975360814,1.0072345647886936,1.811846022522706,0.004730648246086928,1.8057173107464266,1.8187808896210873,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f354.json,2,synthetic,high_locality,,FIFO,ProportionalAllocation,354,4,329.0,0.0,329.0,0.0,329.0,0.05483333333333333,1.9957,3006463.8973793657,1.870985603543743,1.8535495255002492,297.0,1.1919191919191918,1.8535495255002492,1.8540238316462092,0.9999456609240989,0.00024863658058270886,0.007367310084538717,1.0195191013322193,1.8535495255002492,0.01365567411140994,1.835164835164835,1.870985603543743,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f354.json,3,synthetic,high_locality,,FIFO,ProportionalAllocation,354,4,314.0,0.0,314.0,0.0,314.0,0.052333333333333336,2.0265,2960769.800148038,1.9595407326407872,1.9087408363692102,305.0,1.160655737704918,1.90874083636921,1.9039860258194161,0.9997025343168194,0.0014649543282993244,0.017365836557574267,1.049313311611595,1.9087408363692102,0.033146881395155314,1.8674505611972207,1.9595407326407872,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f354.json,4,synthetic,high_locality,,FIFO,ProportionalAllocation,354,4,319.0,0.0,319.0,0.0,319.0,0.05316666666666667,4.2409,1414794.0295691954,2.112811281128113,2.034934690250733,300.0,1.18,2.034934690250733,2.0511821094450853,0.9987461842698504,0.0066446637840745434,0.03469098743628955,1.0978133709396247,2.034934690250733,0.07059389377315795,1.924563260984648,2.112811281128113,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f354.json,5,synthetic,high_locality,,FIFO,ProportionalAllocation,354,4,328.0,2.0,328.0,2.0,330.0,0.05466666666666667,1.9749,3038128.512836093,1.83289124668435,1.817830063822747,284.0,1.2464788732394365,1.817830063822747,1.8169466857288048,0.9999662537128692,0.00014903119021663733,0.005815886668070796,1.01571352150192,1.817830063822747,0.010572293633004997,1.804535637149028,1.83289124668435,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f354.json,6,synthetic,high_locality,,FIFO,ProportionalAllocation,354,4,321.0,0.0,321.0,0.0,321.0,0.0535,1.9625,3057324.8407643316,1.825492341356674,1.8206173525576377,286.0,1.2377622377622377,1.820617352557638,1.8192047148082915,0.9999975970982881,1.0656807753509987e-05,0.001552835744993741,1.0038077781380776,1.8206173525576377,0.002827119703007372,1.8185676392572945,1.825492341356674,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f354.json,7,synthetic,high_locality,,FIFO,ProportionalAllocation,354,4,324.0,0.0,324.0,0.0,324.0,0.054,1.9584,3063725.4901960786,1.8397759103641456,1.8070944905656625,289.0,1.2249134948096885,1.8070944905656625,1.8021804548228642,0.9998733517465727,0.0005594652501753312,0.011335386379598692,1.0311251471542973,1.8070944905656625,0.02048411427500585,1.7842411422527764,1.8397759103641456,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f354.json,8,synthetic,high_locality,,FIFO,ProportionalAllocation,354,4,326.0,0.0,326.0,0.0,326.0,0.05433333333333333,1.9642,3054678.7496181647,1.8248337028824835,1.8085584271974657,300.0,1.18,1.8085584271974657,1.8118619484373881,0.9999201074878602,0.000346453513146437,0.008912931583736117,1.0219287213687898,1.8085584271974657,0.01611955752680041,1.785676109032603,1.8248337028824835,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f354.json,9,synthetic,high_locality,,FIFO,ProportionalAllocation,354,4,352.0,24.0,352.0,23.0,375.0,0.058666666666666666,1.9993,3001050.3676286703,1.9359255202628696,1.8507177300842486,310.0,1.1419354838709677,1.8507177300842486,1.8470973787003016,0.9990317775224171,0.00446503684378849,0.031268206364428744,1.0920461533965433,1.8507177300842486,0.05786862390658142,1.7727506426735218,1.9359255202628696,False
